Filename,HOMO_au,LUMO_au,Dipole,Surface_area,Surface_volume,P_int,SASA,V_SASA,Hirshfeld_57,Hirshfeld_56,Hirshfeld_55,Hirshfeld_89,Hirshfeld_59,Hirshfeld_53,Hirshfeld_52,Hirshfeld_58,Hirshfeld_54,Hirshfeld_76,Hirshfeld_50,Hirshfeld_1,Hirshfeld_17,Hirshfeld_18,Hirshfeld_49,CM5_57,CM5_56,CM5_55,CM5_89,CM5_59,CM5_53,CM5_52,CM5_58,CM5_54,CM5_76,CM5_50,CM5_1,CM5_17,CM5_18,CM5_49,Spin_Density_57,Spin_Density_56,Spin_Density_55,Spin_Density_89,Spin_Density_59,Spin_Density_53,Spin_Density_52,Spin_Density_58,Spin_Density_54,Spin_Density_76,Spin_Density_50,Spin_Density_1,Spin_Density_17,Spin_Density_18,Spin_Density_49,Vbur_50,Vbur_49,Vbur_1,Vbur_17,Vbur_57,Vbur_56,P_int_57,P_int_55,P_int_56,P_int_54,P_int_50,P_int_1,P_int_17,P_int_49,SASA_57,SASA_56,SASA_50,SASA_49,SASA_18,P_57,P_angle_57,P_56,P_angle_56,P_53,P_angle_53,P_52,P_angle_52,P_1,P_angle_1,P_17,P_angle_17,f_elec_57,f_nuc_57,local_elec_57,local_nuc_57,f_elec_56,f_nuc_56,local_elec_56,local_nuc_56,f_elec_55,f_nuc_55,local_elec_55,local_nuc_55,f_elec_89,f_nuc_89,local_elec_89,local_nuc_89,f_elec_59,f_nuc_59,local_elec_59,local_nuc_59,f_elec_53,f_nuc_53,local_elec_53,local_nuc_53,f_elec_52,f_nuc_52,local_elec_52,local_nuc_52,f_elec_58,f_nuc_58,local_elec_58,local_nuc_58,f_elec_54,f_nuc_54,local_elec_54,local_nuc_54,f_elec_76,f_nuc_76,local_elec_76,local_nuc_76,f_elec_50,f_nuc_50,local_elec_50,local_nuc_50,f_elec_1,f_nuc_1,local_elec_1,local_nuc_1,f_elec_17,f_nuc_17,local_elec_17,local_nuc_17,f_elec_18,f_nuc_18,local_elec_18,local_nuc_18,f_elec_49,f_nuc_49,local_elec_49,local_nuc_49,d_57_50,d_56_50,d_50_1,d_50_17,d_49_50,d_1_17,theta_57_50_56,theta_57_50_1,theta_57_50_17,theta_56_50_1,theta_56_50_17,theta_1_50_17,theta_1_50_49,theta_17_50_49,theta_57_50_49,theta_56_50_49,phi_57_53_52_56,phi_57_50_17_18,phi_56_50_17_18,phi_53_57_50_1,phi_52_56_50_1,L_55_89,B1_55_89,B5_55_89,L_54_76,B1_54_76,B5_54_76,L_57_50,B1_57_50,B5_57_50,L_56_50,B1_56_50,B5_56_50,L_50_1,B1_50_1,B5_50_1,L_50_17,B1_50_17,B5_50_17
L0107_TSRE_R-26,-0.27525,-0.00557,1526.4870,722.2226557075644,873.922192962632,23.066628836978197,825.5102710815181,1642.3833171667434,-0.835411,-1.897788,-2.101379,5.404942,2.728775,-2.064495,-3.141517,0.406273,-1.444728,5.384073,-5.095329,-1.85226,-2.421627,-0.675733,-1.342701,-1.085014,-2.124808,-2.102753,5.374712,2.645594,-1.957969,-3.037411,0.322859,-1.446656,5.352158,-4.892966,-1.995758,-2.504669,-0.603128,-1.375059,.016934,0.00762,0.026534,0.001919,0.035799,0.006241,0.011347,0.106823,0.011457,0.000899,0.00353,-0.024873,0.008672,0.00287,0.00594,59.48066657549997,47.677858176475695,48.34433117411283,63.77466653114767,62.53812818801063,39.33986831957533,0,27.94801833949146,0.0,0.0,0.0,28.87049801221316,0.0,0.9385832090942974,0.5061556559821095,0.7942776276556094,0.9120154677599702,0.9169190272083488,0.8781156820723072,1.6427998343372565,9.865937742805972,1.493354723680175,10.902705841368553,0.03809264722367901,0.25488018004048063,0.11130607211209181,0.7482001467080155,0.7781642829249353,5.703396045111253,0.7933113466744198,5.855456767802745,-0.02579023809907366,-0.003199617349410294,-0.07707071257301751,-0.003199617349410294,-0.017013008394805407,-0.0013491794157386994,-0.051658513965611,-0.0013491794157386994,-1.524352719060873e-05,-0.002657624246516513,0.0028050701074668507,-0.002657624246516513,-0.0004992078907071623,-0.0002719302672554158,-0.001266409144918182,-0.0002719302672554158,0.024370114400143805,0.027625902086730048,0.046418945319564996,0.027625902086730048,0.0061160632413201355,0.0017482072899857037,0.017215006945970467,0.0017482072899857037,-0.0049568489951618555,-0.005788333617513297,-0.009259869058554644,-0.005788333617513297,0.017101227861304247,0.020545115403010683,0.03132926935559638,0.020545115403010683,-0.005136111785950373,-0.006189994568570029,-0.009388307413236485,-0.006189994568570029,-0.001522285197695386,-0.0009093957265431385,-0.003775735154123239,-0.0009093957265431385,0.25513631915769125,0.19763556912781513,0.584277966967997,0.19763556912781513,-0.011450969523947651,-0.006471085368770252,-0.028798638807557383,-0.006471085368770252,0.0008408032785444317,0.003255001873480677,-0.0008692724100798884,0.003255001873480677,0.023462406580751147,0.02316274038697755,0.048376193179897366,0.02316274038697755,0.14715179495678044,0.15464613441215497,0.29334468954036463,0.15464613441215497,2.2109608065273343,2.366598074663292,1.9627233655561345,2.044180616799798,2.3606966326489305,2.3557240919088973,71.73422362500065,109.71709936982623,98.96300125385255,116.10695547819984,169.05734653407148,71.98596373855398,107.05007875528422,97.29220192786642,142.82638885492057,87.46845931375314,15.604783761321624,-64.67804435599115,-33.52134958134576,179.181752878699,-178.48163209574508,4.979754465818418,3.245870711184356,10.715241093299321,8.523272927871002,3.0658115839839697,12.567066423556897,8.759287831523833,4.855252398801923,9.371165212680864,11.22340028822763,4.097881536508436,8.52563749359991,8.120219558306562,4.070082246732989,9.81563509677259,9.224699899914226,4.131545820168702,8.679515973026993,
L0107_TSRE_R-28,-0.27612,-0.0053,1286.5777,732.4234718065287,874.1661983022176,23.348829881679567,826.2699061149476,1645.912416120487,-1.101781,-1.866206,-2.110152,5.330989,2.115979,-2.052065,-2.955448,0.143284,-1.591203,5.393668,-5.039935,-1.76998,-2.524493,-0.594648,-1.254091,-1.343351,-2.106324,-2.11295,5.30032,2.033717,-1.943789,-2.848819,0.061051,-1.593406,5.363715,-4.838021,-1.911782,-2.60892,-0.529552,-1.289917,.065417,0.009944,0.021909,0.001191,0.121474,0.017159,0.023827,0.069509,0.004745,0.000176,0.003208,-0.085678,-0.002726,-0.001632,0.01053,54.935500136847956,48.290145029659236,53.270362403293696,47.993846198479076,59.6745316668436,44.800017381211056,65.12526530904202,28.098185778830832,0.0,0.0,0.0,28.370489387131528,0.0,0.9267552646291465,0.48704225680208724,0.7655027021990309,0.9024937103988073,0.892803065598211,0.8881965150950428,1.6087301008236679,10.009536327427046,1.6545102004080123,9.910302386256683,0.04786186184426485,0.32017497505042336,0.002769299089533103,0.018470992196985548,0.7872366408379616,5.793759859533142,0.7524942687652617,5.4914763710140955,-0.024121863623321582,-0.021329715335076327,-0.05281047449679255,-0.021329715335076327,-0.027762499510418787,-0.02174925977069664,-0.06384857447694028,-0.02174925977069664,-0.0018990503298836336,-0.000730738979084683,-0.005196882997825237,-0.000730738979084683,0.00016006400435307488,-1.777270473805881e-05,0.0005249846364823686,-1.777270473805881e-05,0.026231893448034616,0.025653146528099413,0.05473719133054508,0.025653146528099413,0.008312809634914264,0.004026420152665022,0.021841656475704577,0.004026420152665022,0.0026825806908346017,-0.00024195611062693967,0.008737186999506786,-0.00024195611062693967,0.02117865692898857,0.020453815901417427,0.04447500655803269,0.020453815901417427,-0.0029819976557432654,-0.003446018126704961,-0.005641922878092879,-0.003446018126704961,0.0004511142949270852,0.0005077040754951773,0.0008684146437798688,0.0005077040754951773,0.27760044420894686,0.21661205133799855,0.6393730146394538,0.21661205133799855,-0.013203300404655272,-0.008624148787063465,-0.03224902998572772,-0.008624148787063465,-0.0023333707077444893,0.0003920879182057607,-0.007798816273712003,0.0003920879182057607,0.024425910327024056,0.023236089057754816,0.05168191423490589,0.023236089057754816,0.15018827262625,0.1598908209203833,0.2991310866134459,0.1598908209203833,2.256201981915626,2.308997763208098,1.9911041202558946,2.054518401523822,2.321766844215844,2.306482337305014,82.26294680462817,158.90427771402608,107.93043204170057,94.21831469945509,158.88550205801383,69.49662074668085,107.60380232627904,95.83780604671036,93.45541999769024,102.06820392819472,-35.28263968423482,-29.309282066947397,-145.74158562783046,-56.59140329403563,100.39112789817706,6.9096428936295275,3.1479477076130697,10.421459027271222,4.689001553478104,3.1989743062044145,10.019282621351733,10.657843466238337,4.318943422782727,9.041232677811946,10.837745784643376,4.415619110861138,8.278966262186621,8.660742121445464,4.046718341207572,8.947273117459709,8.44005274566482,3.9276086200605382,8.055518821186137,
L0107_TSRE_R-5,-0.26996,-0.01219,1217.8107,720.2955375714096,867.889374286334,23.37177500450951,834.0913085567706,1649.7840525117797,-1.679495,-1.909116,-1.957243,5.397271,1.817696,-2.160348,-2.920504,0.398031,-1.426759,5.402439,-4.806151,-1.390944,-2.563088,-0.474659,-1.321365,-1.921157,-2.141307,-1.959892,5.366669,1.733825,-2.05148,-2.812568,0.316833,-1.428381,5.372604,-4.619552,-1.531982,-2.644508,-0.406123,-1.360389,.045339,0.045554,0.000944,0.000507,0.339106,0.053787,0.009257,0.23645,0.005257,-8.2e-05,0.002068,-0.035281,-0.002101,0.000223,0.00825,55.22083005864131,50.93931841153463,58.838550420539846,46.649887610117254,60.42508008791632,34.79866589463278,0,31.66601373691215,0.0,0.0,0.0,10.560182161723963,0.0,0.9288576220648528,0.585020266492732,0.7613096347372345,0.9163308330227358,0.8957556839358927,0.8962972884830414,1.613966605326422,9.989843648570167,1.6609343195083,9.935057782923153,0.09148101621247928,0.6133800033203054,0.020834401314751005,0.13868163692719615,0.7833306131130882,5.753535148657529,0.781514310052505,5.737712164817763,-0.02199426819683023,-0.01630548039577262,-0.05121578293643612,-0.01630548039577262,-0.02605967128470557,-0.021593478917525166,-0.058234391365662566,-0.021593478917525166,-0.0016913788826051213,-0.0011595407721801676,-0.0040401236965680026,-0.0011595407721801676,-0.00018338391647777785,-0.00036227003585247164,-0.00018339568014579937,-0.00036227003585247164,0.026862674041963464,0.026708152732877077,0.055239161529353285,0.026708152732877077,0.010012587648034726,0.0045760618712240575,0.026379842989965187,0.0045760618712240575,0.0013164317726571118,-0.001079968855687119,0.005278623671949324,-0.001079968855687119,0.019474824463310003,0.01860968865237078,0.040857853697063976,0.01860968865237078,-0.002626897900976935,-0.002957858199444649,-0.005029286003878893,-0.002957858199444649,0.0004815795790669708,0.0004573678320735908,0.0010133798503061731,0.0004573678320735908,0.27335463805441196,0.21573009371291946,0.6224539852754833,0.21573009371291946,-0.013693057102707379,-0.011194831841988006,-0.030762318295477046,-0.011194831841988006,0.006022331518929912,0.006266007886095791,0.012084434357938913,0.006266007886095791,0.027246639419304233,0.02636020957316909,0.056814252304913965,0.02636020957316909,0.1432544120127559,0.15692693065073332,0.27897620558503144,0.15692693065073332,2.24795367365522,2.4728696006664,1.9924846883727867,2.0814897903665055,2.2901312025515046,2.362329658324595,76.57002741528248,160.26772768730908,114.02100542309219,92.07057727028844,155.4193540622813,70.8427672048241,101.9347734286874,98.31784930679393,96.32070505459235,102.54858337087703,-30.67971455636952,-28.0583620078907,-139.34343135588625,-23.125327905740463,100.42743385318903,5.766300033340791,3.140514679231058,9.757951849637104,4.693270605013519,3.145023029207894,12.595570482352853,8.617699777274877,5.398996884925268,9.31119632521575,11.681060134151574,5.2971228389592255,7.2895853567715445,6.106859016365313,5.798158060922264,9.635964794431619,7.851861697253841,4.85393298313511,8.146939329889989,
L0107_TSRE_R,-0.29439,-0.0115,663.5496,732.4021403355246,869.1436013583851,23.14112609986167,852.8315927645235,1667.7280729441297,-1.189518,-1.949132,-1.944309,5.393376,2.30135,-1.908304,-2.211733,0.642058,-1.41458,5.392896,-4.894796,-1.624571,-2.918216,-0.823348,-0.704946,-1.436769,-2.204423,-1.948805,5.36277,2.216667,-1.802493,-2.105202,0.557123,-1.418515,5.36175,-4.67668,-1.762922,-3.009687,-0.751328,-0.72803,.390778,0.01758,0.006766,0.000479,0.333239,0.036557,0.01024,0.033921,0.01591,0.000739,0.006144,-0.065616,0.006199,0.002741,0.00678,46.37561875348037,42.702975169410166,53.796940949151654,45.244102009222914,55.58264797783034,42.33761003422231,55.38006040590663,34.56589889415893,0.0,0.0,0.0,11.060190786805597,0.0,0.9402080227357436,0.6097185985836749,0.7541231830040999,0.9197377003354454,0.8996866846813268,0.8980793421543048,1.6425031596868058,9.998558370614315,1.572932787398224,10.1568181367202,0.0669061586455447,0.4477835944980286,0.029855252170864207,0.20215658992815547,0.7977211623443561,5.890785198561438,0.7501653303199397,5.444626749552662,-0.028090241370478775,-0.01911248578552041,-0.07127568824684757,-0.01911248578552041,-0.026885137182186852,0.0009399382063983441,-0.09183362382695712,0.0009399382063983441,-0.0023649362856249245,-0.0029924152090453765,-0.004302153169774609,-0.0029924152090453765,0.0013261200976499299,0.0017309492832209977,0.0023473510947844053,0.0017309492832209977,0.021657025242535766,0.017599551345172715,0.05143517912712685,0.017599551345172715,0.004307608090562132,-0.0016580779532690548,0.016564874839331504,-0.0016580779532690548,0.007096708059362522,0.002420408575479427,0.020964069751186483,0.002420408575479427,0.028144131916063464,0.030211455922250552,0.05782891854855074,0.030211455922250552,-0.00236126043238509,-0.005292649546902589,-0.0014652747748680325,-0.005292649546902589,-0.0017110473992719838,-0.0013782544407933972,-0.004078729591312347,-0.0013782544407933972,0.25484770789587713,0.15932291897043882,0.6639282489177987,0.15932291897043882,-0.009278622330612014,-0.006319360527328233,-0.023535772242112764,-0.006319360527328233,0.016680331213495395,0.014491330269299205,0.038466164856957696,0.014491330269299205,0.012324970030038157,0.023571878362749182,0.012626102242604333,0.023571878362749182,0.1316889565096379,0.16671654870201946,0.23945386661651605,0.16671654870201946,2.2145436864735815,2.1710924444850344,2.010526270532171,1.958612298082497,2.4449005267495036,2.313540106697958,90.8073030426815,102.8979453206933,122.92417683651928,88.93046549756976,143.4160174082646,71.29336449919987,171.94998427646206,106.85953104659883,84.73497830578272,88.40166564779881,-34.53812879051114,-20.91264887521894,-175.14572924969295,-112.71311410490004,96.46513287099889,4.697384758456404,3.2675902079978996,11.234468151275575,7.345462172983325,3.187953055761056,10.05776761846705,7.993601898095385,5.565834663254575,8.481902041083512,9.462733260528784,5.220023058725838,8.26417878328991,8.4296783623286,5.372754812373188,7.264789530137525,7.798911501106257,5.447311261880758,8.734873064216181,
L0107_TSRE_S-4,-0.30151,-0.01371,1238.6281,721.4009501742651,867.1108903812475,23.73161678362885,804.0112025449665,1630.0663790331562,-0.958509,-1.87248,-2.004707,5.332751,2.561707,-1.81387,-3.005162,0.853714,-1.500303,5.398057,-4.849327,-1.295272,-3.089103,-0.637974,-0.817055,-1.19966,-2.109214,-2.006918,5.302257,2.478938,-1.705107,-2.899031,0.768062,-1.503969,5.36763,-4.653953,-1.438294,-3.171883,-0.560422,-0.852078,.006411,0.02325,0.0015,0.000138,0.096509,0.010418,0.00721,0.12976,0.007964,0.000285,0.004316,-0.02944,0.025162,0.005029,0.01556,52.3984949967013,42.55839555544247,49.30840897269609,41.028211295787884,57.38216367441359,42.94352554420956,67.00951243315671,28.35933375777725,0.0,0.0,0.0,33.84058374552453,0.0,0.9433411759224748,0.47059611442415206,0.8219984625419307,0.928071421915766,0.8778303205367126,0.9012299664554603,1.5693053363233975,10.151135950584473,1.6424985987911391,9.970905350783779,0.06875989032765999,0.46245630694485707,0.06927039658932002,0.4692542972923458,0.7866141281866383,5.7848501736361815,0.7996872930826908,5.95072503200084,-0.03290105270225843,-0.02063674795177703,-0.08195939965332949,-0.02063674795177703,-0.03246786006935842,-0.007012434404630119,-0.09577710381223381,-0.007012434404630119,-0.0007232997408005842,-0.00014891708830723493,-0.002141811762215384,-0.00014891708830723493,-0.0004844503289745533,0.00020655203543919198,-0.001776254842128587,0.00020655203543919198,0.021949494641032574,0.022822818665799494,0.044575578193587484,0.022822818665799494,0.005187216185327775,0.0029708849022107853,0.013237234046707447,0.0029708849022107853,0.006717241372541621,0.0030148964840200354,0.01807023478121573,0.0030148964840200354,0.023656601239594677,0.029070167636033706,0.04305286939758481,0.029070167636033706,-0.0026600280267407572,-0.004400858664283996,-0.003577970431456753,-0.004400858664283996,-0.00029510941640094324,0.0008281893277142099,-0.0018656232773514828,0.0008281893277142099,0.2647015122407041,0.18040343377258677,0.6433594610252394,0.18040343377258677,-0.009516657230573735,-0.008277462960051291,-0.021131608658768897,-0.008277462960051291,-0.003983117055928666,0.001350395293531259,-0.01421615297717158,0.001350395293531259,0.03731855646663862,0.04161846965940534,0.07264679926856978,0.04161846965940534,0.15625010956644914,0.15155052242237713,0.32949553269281656,0.15155052242237713,2.3283968291509076,2.304600444003255,1.9811031195018598,2.091887707741503,2.3075995521103745,2.2251852395025455,82.9299575743174,97.70740750353002,150.45315952417369,89.30800728579301,119.62574467892198,66.16574754766847,173.06508995829563,108.38962037574343,85.26481228092544,97.29372538874065,-34.40935451421291,90.05617347297607,-45.67602327184949,-84.05806589169165,61.759473075638255,6.946592183880623,3.1324796048423047,10.774970587781436,4.680320268029423,3.2002789012122634,9.402493155370625,9.994268990589463,4.113407789286484,8.456654629926751,10.200604089127603,4.109097829423078,8.22460632140159,8.453504551324832,6.092970052837009,7.618606083277971,8.904114714848712,4.0225310154369645,7.521359736170313,
L0107_TSRE_S-5,-0.2793,-0.01045,2014.2572,739.3083693875411,875.5158088973404,23.59231466176489,821.790238718889,1647.7365649834303,-0.863364,-1.797569,-2.011421,5.424113,1.68781,-1.90738,-2.836719,0.716738,-1.473362,5.418924,-4.943932,-1.522634,-2.390891,-0.575638,-1.30159,-1.06984,-2.03033,-2.010264,5.393885,1.584814,-1.796193,-2.729944,0.634183,-1.475822,5.388878,-4.757032,-1.665635,-2.475297,-0.505598,-1.339248,.021546,0.008909,0.00146,0.000295,0.046952,0.006486,0.006127,0.003545,0.002242,4.8e-05,0.000715,-0.022345,0.03126,0.012206,0.01255,30.199026404440758,42.37220773525229,54.74669438051117,51.035335038759165,58.185438232313615,40.677531161489625,0,28.054341306815846,3.3499644742995045,0.0,0.0,31.66054614016864,0.0,0.9070303764442788,0.46785897316436825,0.7508910268356318,0.8979104547148714,0.6866846813268729,0.879257128214685,1.5531704896962488,10.191721874552664,1.676569882448452,9.890291575191744,0.012352745166876533,0.08223617476805957,0.00631160287270229,0.04217794522398365,0.7839376911691036,5.766513040832493,0.7535884676586022,5.504247062331599,0.029070467574849157,0.03885054485102207,0.04904668829535294,0.03885054485102207,-0.026850747713297513,-0.021634896139451354,-0.06060247719591616,-0.021634896139451354,-0.0018609381718965173,-0.002367172315996563,-0.0032683899337753487,-0.002367172315996563,0.00091954990037936,0.0014968165835314295,0.0012637542002456603,0.0014968165835314295,-0.03183307443945116,-0.017978857062793674,-0.08008431116927847,-0.017978857062793674,-0.0034131705818153946,-0.003463469344907877,-0.0069376031602658,-0.003463469344907877,0.0030245704245105975,0.0006130968090700128,0.008785050932581157,0.0006130968090700128,0.019160177139644963,0.019584318874988904,0.03879268566225598,0.019584318874988904,-0.002942268761781927,-0.0031679792191599276,-0.005784639379064867,-0.0031679792191599276,0.0006792599687736739,0.0007348598747502627,0.0013317076820376968,0.0007348598747502627,0.2696074502186102,0.2099910366898437,0.6162863135522696,0.2099910366898437,-0.014402648163560235,-0.009887835111451679,-0.03435073515213967,-0.009887835111451679,-0.004930636313113676,-0.00064799657037308,-0.01469874718648565,-0.00064799657037308,0.041495959373825574,0.04629387229436529,0.0798492169808679,0.04629387229436529,0.15147819562415737,0.15520452708804916,0.3062899370078368,0.15520452708804916,4.393542141347913,2.4012192919639808,1.9831143524769317,2.0725169604854865,2.2866257562181005,2.239449005916411,61.520079922316214,144.81673719898802,128.83266234125827,91.50703290479655,153.0228549941744,66.99168880389003,105.96123581778082,100.68542325963911,101.33214361083684,100.852287076171,115.3735490965829,100.9852774805796,-2.4269206363256055,15.341076591819427,101.27847822972925,4.678269702873417,3.150533467461243,9.273486926978824,5.466361396615206,3.178807049465103,9.073333916430272,10.90063240807536,4.9404511327256095,8.232013352988096,10.579858543112158,4.526429778882507,8.114933243848089,7.769274432748388,3.960751157342276,8.121327467320675,8.378928765081989,3.7891798510087806,7.186335554684364,
L0107_TSRE_S-8,-0.29866,-0.01288,1044.7363,715.9182463306064,871.4046835301698,23.159030438747877,830.439781447462,1646.9005048273625,-0.995771,-1.899956,-2.057267,5.351998,2.378063,-1.938936,-2.948166,0.392231,-1.424209,5.394638,-4.903727,-1.219938,-3.165057,-0.792286,-1.237074,-1.238226,-2.150086,-2.060895,5.321676,2.293887,-1.833122,-2.842421,0.306647,-1.427175,5.364244,-4.691248,-1.359134,-3.252785,-0.727328,-1.262801,.154484,0.031342,0.019564,0.002306,0.31103,0.018696,0.011367,0.102782,0.018317,0.000705,0.006359,-0.009872,0.02391,0.002915,0.00602,46.913744022943334,37.11668657650762,54.53354973809117,45.97783109870913,60.82255926831566,40.766888369147715,0,29.65771168324536,0.0,0.0,0.0,23.37040313631526,0.0,0.9243500745434216,0.5021372996645546,0.7579842992918375,0.9339184215430488,0.8927040626164741,0.892115868430861,1.6380002443783452,9.977972437413865,1.6283562516823378,9.92881327620209,0.08607310156604916,0.5766792492152888,0.049273832196208525,0.33316037511609736,0.7868051067742299,5.783280222958318,0.6897466494598821,4.9694148597260375,-0.02528884270564208,-0.0159582406670718,-0.06990046523514402,-0.0159582406670718,-0.028283963062416317,-0.004074247765103567,-0.09747914696629759,-0.004074247765103567,-0.0019678333083319316,-0.0022606448130347567,-0.004011638980227169,-0.0022606448130347567,0.0009896854352477863,0.0008837546473721425,0.00237235188859888,0.0008837546473721425,0.020506084420382154,0.017637606878621315,0.050098510959039694,0.017637606878621315,0.0020841380524320163,-0.0014026872459238504,0.009568945756842154,-0.0014026872459238504,0.0094097670247828,0.0027672311046417764,0.030452101627149855,0.0027672311046417764,0.028226408936915692,0.028109619199673808,0.06359124873917368,0.028109619199673808,-0.0016892126082598546,-0.003964810001464383,-0.0006073065386992234,-0.003964810001464383,-0.0011525851169717216,-0.0008065168813224943,-0.003074880219252783,-0.0008065168813224943,0.24573996796263348,0.14843637835428442,0.688542660545163,0.14843637835428442,-0.006949289939746899,-0.0027061443107793716,-0.02156117799248653,-0.0027061443107793716,0.00765645157558718,0.009702615253812073,0.014337776349987608,0.009702615253812073,0.02398567081003493,0.023798846603986915,0.05416001087097752,0.023798846603986915,0.13988560761985624,0.148095941752957,0.3028329842976495,0.148095941752957,2.264070393141521,2.1880130158662223,1.9882832347781842,2.0152229512388944,2.4126561030117823,2.448125571227914,91.43719208568497,97.82714535559354,142.35009759207236,91.10227373516584,125.19265774368777,75.39205888956211,173.3873262546414,98.39389424013105,85.70351388091967,94.40744917265795,-45.553068575156075,-131.38067730946602,63.962901890999596,-110.53596716896698,78.08802070900289,5.98202068892851,3.1427705571883155,10.563196165426435,5.0358108257211995,3.1312054228600887,9.73627495499234,10.576945099169198,4.250763865771301,8.782938225857972,8.670805846258782,4.249336471442234,8.481306983869755,8.673466353545548,5.562021622831425,8.051157008577258,7.885581319967073,4.765946789101676,8.682150145499689,
